created_at;id_str;full_text;retweet_count;favorite_count
20191101 231607;1190407200109318144;The Whistleblower must come forward to explain why his account of the phone call with the Ukrainian President was so inaccurate fraudulent?. Why did the Whistleblower deal with corrupt politician Shifty Adam Schiff andor his committee?;19861;72170
20191101 224859;1190400372180807681;You cant Impeach someone who hasnt done anything wrong!;36089;184308
20191101 215145;1190385966621569024;Oh no, Beto just dropped out of race for President despite him saying he was born for this. I dont think so!;28874;152302
20191101 214015;1190383074632257536;Republicans have never been more unified than they are right now! The Dems are a mess under the corrupt leadership of Nervous Nancy Pelosi and Shifty Adam Schiff!;18969;81194
20191101 211129;1190375834529468423;.....with a President and Federal Government that wants our wonerful City and State to flourish and thrive. I Love New York!;8593;37071
20191101 211129;1190375831840985091;....our great police are being disrespected, even with water dumped on them, because a Mayor and Governor just dont have their backs. New Yorks Finest must be cherished, respected and loved. Too many prople are leaving our special New York. Great leaders would work....;9226;38579
20191101 211128;1190375830247104513;....in New York, and another reason they are leaving. Taxes and energy costs are way too high, Upstate is being allowed to die as other nearby states frack amp drill for Gold oil while reducing taxes amp creating jobs by the thousands. NYC is getting dirty amp unsafe again, as....;5332;19197
20191101 211128;1190375828099674113;I love New York, but New York can never be great again under the current leadership of Governor Andrew Cuomo the brother of Fredo, or Mayor Bill DeBlasio. Cuomo has weaponized the prosecutors to do his dirty work and to keep him out of jams, a reason some dont want to be...;16228;64340
20191101 140856;1190269494788263936;Stock Market up BIG! Record highs for SampP 500 and NASDAQ. Enjoy!;17763;79401
20191101 140818;1190269335224430592;....Our Republican candidate @EddieRispone is a successful conservative businessman who will stand with me to create jobs and protect your Second Amendment. GET OUT AND VOTE for Eddie, the next Governor of the GREAT State of Louisiana!;10882;38042
20191101 140817;1190269332623970304;LOUISIANA! Extreme Democrat John Bel Edwards has sided with Nancy Pelosi and Chuck Schumer to support Sanctuary Cities, High Taxes, and Open Borders. He is crushing Louisianas economy and your Second Amendment rights....;15595;52077
20191101 135222;1190265325511757825;....@FoxNews  @BillHemmer  The public is watching and seeing for themselves how unfair this process is. Corrupt politicians, Pelosi and Schiff, are trying to take down the Republican Party. It will never happen, we will take back the House!;12295;45472
20191101 135219;1190265313620836352;Adam Schiff has taken all of the power for himself. That is very unfair. There were dozens of people on this call, yesterdays witness knew that and had no problems nor did any of them. Facts matter, and thats why this is not about Impeachment. Guy Lewis, former prosecutor...;15647;57456
20191101 133839;1190261874371244032;ISIS has a new leader. We know exactly who he is!;38671;216751
20191101 133610;1190261248367218688;The Democrats need more than this. @tombrokaw  Much more!;8308;35499
20191101 133350;1190260664062881792;The Democrats are so immersed in this SCAM. They couldnt care less about the American people! @RushLimbaughEIB;12862;47440
20191101 125200;1190250133071519745;Wow, a blowout JOBS number just out, adjusted for revisions and the General Motors strike, 303,000. This is far greater than expectations. USA ROCKS!;22954;93254
20191101 123958;1190247105841057805;Chicago will never stop its crime wave with the current Superintendent of Police. It just wont happen! Thank you to Kevin Graham and all of the GREAT Chicago Police Officers I just had the privilege to meet. Tremendous crime fighting potential if allowed to do your thing!;16569;67616
20191101 122939;1190244509277458433;This is the biggest, most disgusting scandal, and its all on the Democrat  Party that has highjacked the Impeachment process, our tax dollars, the House of Representatives, to push their 2020 Election. Thats whats going on. @marklevinshow  Cannot be said any better!;18295;64362
20191101 121436;1190240720633905152;It has been 3 years and Donald Trump hasnt done anything wrong. Donald Trump hasnt done a single thing of which he has been accused. @RushLimbaughEIB  @seanhannity  A Witch Hunt like no other!;16772;67276
20191101 120910;1190239355627098112;Thanks Lee! .coTE5xHk3YzO;11487;43806
20191101 034812;1190113283078074369;But the Crooked Democrats dont want people to know this! Thank you to Tim Morrison for your honesty. .co1AxrArFJ6c;18658;58275
20191101 020007;1190086080952967171;A great place! .co4RfSNw3RZf;9761;46687
20191101 015718;1190085372815929344;Thank you! .co8yUP8Pex8c;15174;63220
20191101 013245;1190079193582899200;....this decision, but in the end it will be best for all concerned. As President, I will always be there to help New York and the great people of New York. It will always have a special place in my heart!;15338;79121
20191101 013244;1190079192358105088;....New York, and always will, but unfortunately, despite the fact that I pay millions of dollars in city, state and local taxes each year, I have been treated very badly by the political leaders of both the city and state. Few have been treated worse. I hated having to make....;14924;74426
20191101 013244;1190079191355670529;1600 Pennsylvania Avenue, the White House, is the place I have come to love and will stay for, hopefully, another 5 years as we MAKE AMERICA GREAT AGAIN, but my family and I will be making Palm Beach, Florida, our Permanent Residence. I cherish New York, and the people of.....;23581;108588
20191101 004811;1190067978089439239;The home of Nancy Pelosi. I cant believe her voters can be happy with the job she and the Do Nothing Democrats are doing! San Francisco has really gone down hill. So sad! .coz0Tms6gkDy;20196;70016
20191031 224426;1190036836447641601;While the Do Nothing Democrats FAIL the American People, and continue the Impeachment Scam, my Administration will continue to deliver REAL RESULTS, as seen over the past month, below! .codxjHusgiFX;29732;98879
20191031 153146;1189927952168996865;The Greatest Witch Hunt In American History!;36311;172960
20191031 145730;1189919331259424770;The Impeachment Hoax is hurting our Stock Market. The Do Nothing Democrats dont care!;24271;104241
